index,North,South,West,East,ND,SD,WD,ED
1,,,8,,,,3,
2,,3,9,,,3,3,
3,2,4,,,3,3,,
4,3,,,,3,,,
5,,6,12,,,3,3,
6,5,7,13,,3,3,3,
7,6,,14,,3,,3,
8,,9,15,1,,3,3,3
9,8,,16,2,3,,3,3
10,,11,17,,,3,3,
11,10,,,,3,,,
12,,,19,5,,,3,3
13,,,,6,,,,3
14,,,21,7,,,3,3
15,,,22,8,,,3,3
16,,,,9,,,,3
17,,18,24,10,,3,3,3
18,17,19,,,3,3,,
19,18,20,,12,3,3,,3
20,19,,27,,3,,3,
21,,,,14,,,,3
22,,,29,15,,,3,3
23,,24,,,,3,,
24,23,25,,17,3,3,,3
25,24,,32,,3,,3,
26,,,33,,,,3,
27,,28,34,20,,3,3,3
28,27,,35,,3,,3,
29,,,36,22,,,3,3
30,,,37,,,,3,
31,,32,,,,3,,
32,31,,39,25,3,,3,3
33,,34,,26,,3,,3
34,33,,41,27,3,,3,3
35,,,42,28,,,3,3
36,,37,43,29,,3,3,3
37,36,38,44,30,3,3,3,3
38,37,39,,,3,3,,
39,38,40,46,32,3,3,3,3
40,39,,47,,3,,3,
41,,42,,34,,3,,3
42,41,,,35,3,,,3
43,,,50,36,,,3,3
44,,,51,37,,,3,3
45,,,52,,,,3,
46,,47,,39,,3,,3
47,46,48,54,40,3,3,3,3
48,47,49,,,3,3,,
49,48,,56,,3,,3,
50,,,,43,,,,3
51,,52,,44,,3,,3
52,51,,,45,3,,,3
53,,54,,,,3,,
54,53,,,47,3,,,3
55,,56,,,,3,,
56,55,,,49,3,,,3
